tweet_id,times,dog_type,name,rating,stage,favorite_count,retweet_count
891815181378084864,2017-07-31 00:18:03,Chihuahua,Archie,12.0,,25445,4301
891327558926688256,2017-07-29 16:00:24,Basset,Franklin,12.0,,41016,9721
891087950875897856,2017-07-29 00:08:17,Chesapeake_Bay_Retriever,,13.0,,20548,3240
890971913173991426,2017-07-28 16:27:12,Appenzeller,Jax,13.0,,12053,2142
890729181411237888,2017-07-28 00:22:40,Pomeranian,,13.0,,66596,19548
890609185150312448,2017-07-27 16:25:51,Irish_Terrier,Zoey,13.0,,28187,4403
890240255349198849,2017-07-26 15:59:51,Pembroke,Cassie,14.0,doggo,32467,7684
890006608113172480,2017-07-26 00:31:25,Samoyed,Koda,13.0,,31127,7584
889880896479866881,2017-07-25 16:11:53,French_Bulldog,Bruno,13.0,,28208,5116
889665388333682689,2017-07-25 01:55:32,Pembroke,,13.0,puppo,38745,8502
889638837579907072,2017-07-25 00:10:02,French_Bulldog,Ted,12.0,,27633,4705
889531135344209921,2017-07-24 17:02:04,Golden_Retriever,Stuart,13.0,puppo,15329,2309
889278841981685760,2017-07-24 00:19:32,Whippet,Oliver,13.0,,25712,5635
888917238123831296,2017-07-23 00:22:39,Golden_Retriever,Jim,12.0,,29555,4681
888804989199671297,2017-07-22 16:56:37,Golden_Retriever,Zeke,13.0,,26021,4535
888554962724278272,2017-07-22 00:23:06,Siberian_Husky,Ralphus,13.0,,20267,3722
888078434458587136,2017-07-20 16:49:33,French_Bulldog,Gerald,12.0,,22144,3637
887705289381826560,2017-07-19 16:06:48,Basset,Jeffrey,13.0,,30690,5584
887473957103951883,2017-07-19 00:47:34,Pembroke,Canela,13.0,,70007,18813
887343217045368832,2017-07-18 16:08:03,Mexican_Hairless,,13.0,,34223,10713
887101392804085760,2017-07-18 00:07:08,Samoyed,,12.0,floof,31045,6147
886983233522544640,2017-07-17 16:17:36,Chihuahua,Maya,13.0,,35786,8045
886736880519319552,2017-07-16 23:58:41,Kuvasz,Mingus,13.0,,12286,3420
886366144734445568,2017-07-15 23:25:31,French_Bulldog,Roscoe,12.0,pupper,21488,3297
886258384151887873,2017-07-15 16:17:19,Pug,Waffles,13.0,,28437,6506
885984800019947520,2017-07-14 22:10:11,Blenheim_Spaniel,Jimbo,12.0,,33299,7043
885528943205470208,2017-07-13 15:58:47,Pug,Maisey,13.0,,36592,6642
885167619883638784,2017-07-12 16:03:00,Malamute,,13.0,,22304,4526
884925521741709313,2017-07-12 00:01:00,Italian_Greyhound,Earl,12.0,,78881,19149
884876753390489601,2017-07-11 20:47:12,Chow,Lola,13.0,,28429,6042
884562892145688576,2017-07-11 00:00:02,Pug,Kevin,13.0,,24716,5076
884441805382717440,2017-07-10 15:58:53,Pembroke,,14.0,,27443,5836
884162670584377345,2017-07-09 21:29:42,German_Shepherd,Yogi,12.0,doggo,20719,3099
883838122936631299,2017-07-09 00:00:04,Doberman,Noah,12.0,,22269,3559
883482846933004288,2017-07-08 00:28:19,Golden_Retriever,Bella,13.5,,46741,10336
883360690899218434,2017-07-07 16:22:55,Chow,Grizzwald,13.0,floof,22932,3802
883117836046086144,2017-07-07 00:17:54,Golden_Retriever,,13.0,,37810,6900
882992080364220416,2017-07-06 15:58:11,Eskimo_Dog,Rusty,13.0,,24358,4086
882762694511734784,2017-07-06 00:46:41,Labrador_Retriever,Gus,12.0,pupper,28810,5086
882627270321602560,2017-07-05 15:48:34,Pembroke,Stanley,13.0,,28327,6303
882268110199369728,2017-07-04 16:01:23,Golden_Retriever,Alfy,13.0,,45745,12013
881906580714921986,2017-07-03 16:04:48,Weimaraner,Rey,12.0,floof,24708,3516
881666595344535552,2017-07-03 00:11:11,Saluki,Gary,13.0,pupper,51390,11026
881536004380872706,2017-07-02 15:32:16,Samoyed,,14.0,pupper,50326,16564
880872448815771648,2017-06-30 19:35:32,Pembroke,,12.0,,21667,3957
880465832366813184,2017-06-29 16:39:47,Golden_Retriever,Bella,12.0,,28997,6500
880221127280381952,2017-06-29 00:27:25,Chihuahua,Jesse,12.0,,27561,4398
880095782870896641,2017-06-28 16:09:20,Miniature_Pinscher,,11.0,,28085,4506
879862464715927552,2017-06-28 00:42:13,Basset,Romeo,13.0,,22609,3615
879492040517615616,2017-06-27 00:10:17,German_Short-Haired_Pointer,Bailey,12.0,,23778,3300
879415818425184262,2017-06-26 19:07:24,English_Springer,Duddles,13.0,,107834,45655
879008229531029506,2017-06-25 16:07:47,Vizsla,Beau,13.0,,19265,2793
878776093423087618,2017-06-25 00:45:22,Italian_Greyhound,Snoopy,13.0,puppo,19708,4282
878281511006478336,2017-06-23 16:00:04,Basset,Shadow,13.0,,7890,1338
878057613040115712,2017-06-23 01:10:23,French_Bulldog,Emmy,14.0,,42743,7118
877736472329191424,2017-06-22 03:54:17,Chesapeake_Bay_Retriever,Aja,13.0,,81450,19908
877556246731214848,2017-06-21 15:58:08,Basset,Penny,12.0,,23188,3973
877316821321428993,2017-06-21 00:06:44,Saluki,Dante,13.0,,27835,5377
877201837425926144,2017-06-20 16:29:50,Pembroke,Nelly,12.0,,27661,5829
876838120628539392,2017-06-19 16:24:33,Bloodhound,Ginger,12.0,pupper,21069,3493
876484053909872640,2017-06-18 16:57:37,Golden_Retriever,Benedict,13.0,,19086,2499
876120275196170240,2017-06-17 16:52:05,Bernese_Mountain_Dog,Venti,13.0,puppo,28392,4872
875747767867523072,2017-06-16 16:11:53,Labrador_Retriever,Goose,13.0,,25710,4478
875144289856114688,2017-06-15 00:13:52,Siberian_Husky,Nugget,13.0,,22346,5114
875021211251597312,2017-06-14 16:04:48,West_Highland_White_Terrier,,12.0,,25948,4895
874680097055178752,2017-06-13 17:29:20,Labrador_Retriever,Cash,12.0,,28371,4825
874296783580663808,2017-06-12 16:06:11,Cocker_Spaniel,Jed,13.0,pupper,26563,4284
874057562936811520,2017-06-12 00:15:36,Flat-Coated_Retriever,,12.0,,23061,4107
874012996292530176,2017-06-11 21:18:31,Cardigan,Sebastian,13.0,puppo,35406,10926
873580283840344065,2017-06-10 16:39:04,Newfoundland,,13.0,,24757,4110
873213775632977920,2017-06-09 16:22:42,Vizsla,Sierra,12.0,pupper,7435,1656
872967104147763200,2017-06-09 00:02:31,Labrador_Retriever,,12.0,doggo,27918,5632
872820683541237760,2017-06-08 14:20:41,Pug,,13.0,,15006,3858
872620804844003328,2017-06-08 01:06:27,Cocker_Spaniel,Monkey,13.0,,21254,3871
872486979161796608,2017-06-07 16:14:40,Pembroke,,12.0,,41474,9365
872261713294495745,2017-06-07 01:19:32,Labrador_Retriever,Harry,13.0,,34982,6606
871879754684805121,2017-06-06 00:01:46,Shetland_Sheepdog,Lassie,13.0,puppo,38995,11810
871762521631449091,2017-06-05 16:15:56,Labrador_Retriever,Rover,12.0,pupper,20716,3641
871515927908634625,2017-06-04 23:56:03,Komondor,Napolean,12.0,doggo,20687,3608
871032628920680449,2017-06-03 15:55:36,Kelpie,Boomer,13.0,,23174,3972
870656317836468226,2017-06-02 15:00:16,Pembroke,Cody,13.0,,12767,2798
870374049280663552,2017-06-01 20:18:38,Golden_Retriever,Zoey,13.0,,84753,27502
870308999962521604,2017-06-01 16:00:09,Greater_Swiss_Mountain_Dog,Rumble,13.0,,22375,4355
869772420881756160,2017-05-31 04:27:59,Pembroke,Dewey,13.0,,43546,10580
869702957897576449,2017-05-30 23:51:58,Pembroke,Stanley,13.0,,29014,6680
869596645499047938,2017-05-30 16:49:31,Chihuahua,Scout,12.0,doggo,16431,3300
869227993411051520,2017-05-29 16:24:37,Pembroke,Gizmo,13.0,,21052,4004
868622495443632128,2017-05-28 00:18:35,Labrador_Retriever,,13.0,,28165,6234
868552278524837888,2017-05-27 19:39:34,Whippet,Cooper,12.0,,10485,2219
867900495410671616,2017-05-26 00:29:37,Labrador_Retriever,,12.0,,24905,4410
867774946302451713,2017-05-25 16:10:44,Border_Collie,Harold,13.0,,35055,7740
867421006826221569,2017-05-24 16:44:18,Eskimo_Dog,Shikha,12.0,puppo,16683,2673
867051520902168576,2017-05-23 16:16:06,Samoyed,,13.0,,33289,8367
866686824827068416,2017-05-22 16:06:55,Flat-Coated_Retriever,Lili,12.0,puppo,20002,3707
866450705531457537,2017-05-22 00:28:40,French_Bulldog,Jamesy,13.0,pupper,106481,32705
866334964761202691,2017-05-21 16:48:45,Samoyed,Coco,12.0,,54493,15442
865718153858494464,2017-05-19 23:57:46,Golden_Retriever,Boomer,13.0,,26528,5975
865359393868664832,2017-05-19 00:12:11,Chesapeake_Bay_Retriever,Sammy,13.0,,27416,5351
865006731092295680,2017-05-18 00:50:50,Pembroke,Nelly,13.0,,28978,8162
864279568663928832,2017-05-16 00:41:21,Bull_Mastiff,Meatball,12.0,,15134,3251
864197398364647424,2017-05-15 19:14:50,Golden_Retriever,Paisley,13.0,,31314,9552
863553081350529029,2017-05-14 00:34:33,Eskimo_Dog,Neptune,13.0,,15875,4464
863432100342583297,2017-05-13 16:33:49,Staffordshire_Bullterrier,Belle,12.0,,24734,5627
863079547188785154,2017-05-12 17:12:53,Lakeland_Terrier,,14.0,,9068,1188
863062471531167744,2017-05-12 16:05:02,French_Bulldog,Quinn,13.0,,8911,2664
862831371563274240,2017-05-12 00:46:44,Australian_Terrier,Zooey,13.0,,19946,5421
862722525377298433,2017-05-11 17:34:13,Basset,Dave,11.0,,17722,3782
862096992088072192,2017-05-10 00:08:34,Chow,,13.0,,77714,24997
861383897657036800,2017-05-08 00:54:59,Cardigan,Hobbes,13.0,,37599,11456
861005113778896900,2017-05-06 23:49:50,German_Shepherd,Burt,12.0,,17460,4093
860563773140209665,2017-05-05 18:36:06,Cardigan,Lorenzo,13.0,,7841,2317
860524505164394496,2017-05-05 16:00:04,Bedlington_Terrier,Carl,13.0,,24590,5664
859924526012018688,2017-05-04 00:15:58,French_Bulldog,Milky,12.0,,19962,4320
859851578198683649,2017-05-03 19:26:06,Labrador_Retriever,Trooper,13.0,,16044,3762
859607811541651456,2017-05-03 03:17:27,Golden_Retriever,Zoey,13.0,puppo,19391,1695
